91. Name: Leaving Heaven (feat. Skylar Grey), Streams: 108,473,807, Daily: 21,112
92. Name: Just Don't Give A Fuck, Streams: 108,109,821, Daily: 35,827
93. Name: Lock It Up (feat. Anderson .Paak), Streams: 107,850,925, Daily: 27,846
94. Name: W.T.P., Streams: 106,871,161, Daily: 31,915
95. Name: From The D 2 The LBC (with Snoop Dogg), Streams: 106,852,560, Daily: 48,019
96. Name: Believe, Streams: 104,862,417, Daily: 8,538
97. Name: FACK, Streams: 104,462,300, Daily: 34,172
98. Name: Phenomenal, Streams: 102,284,362, Daily: 22,099
99. Name: *Majesty (with Labrinth & feat. Eminem), Streams: 101,983,369, Daily: 17,013
100. Name: *Dead Wrong, Streams: 95,120,567, Daily: 28,953
101. Name: No Regrets (feat. Don Toliver), Streams: 93,652,938, Daily: 19,876
102. Name: Criminal, Streams: 93,265,440, Daily: 39,331
103. Name: *Gospel (with Eminem), Streams: 92,232,627, Daily: 77,859
104. Name: *The Hills - Remix, Streams: 91,585,296, Daily: 23,765
105. Name: Talkin’ 2 Myself, Streams: 91,115,756, Daily: 16,794
106. Name: Nice Guy (with Jessie Reyez), Streams: 89,792,692, Daily: 7,561
107. Name: In Your Head, Streams: 89,433,120, Daily: 13,880
108. Name: In Too Deep, Streams: 89,299,694, Daily: 13,834
109. Name: *Lean Back (feat. Lil Jon, Eminem, Mase & Remy Martin) - Remix, Streams: 89,197,820, Daily: 30,248
110. Name: My Dad's Gone Crazy, Streams: 89,191,896, Daily: 41,891
111. Name: Big Weenie, Streams: 88,821,952, Daily: 43,538
112. Name: *My Name (feat. Eminem & Nate Dogg), Streams: 87,603,415, Daily: 27,916
113. Name: My Mom, Streams: 87,031,622, Daily: 30,734
114. Name: *Revenge (feat. Eminem), Streams: 83,402,296, Daily: 13,909
115. Name: When The Music Stops, Streams: 82,257,565, Daily: 34,193
116. Name: Premonition - Intro, Streams: 82,099,544, Daily: 9,364
117. Name: Remind Me, Streams: 82,031,254, Daily: 7,676
118. Name: So Bad, Streams: 81,231,688, Daily: 19,082
119. Name: Marsh, Streams: 80,927,574, Daily: 10,934
120. Name: *Lace It (with Eminem & benny blanco), Streams: 80,378,846, Daily: 119,925
121. Name: Farewell, Streams: 79,927,237, Daily: 13,462
